epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2132.86,0.96051,0.77291,1.21775,0.776,0.71745,0.78569,0.61665,0.92056,0.71891,1.23286,0.0095941,0.0095941,0.0095941
43,2183.04,0.9556,0.77147,1.21232,0.81166,0.6977,0.79746,0.62614,0.91142,0.70256,1.22051,0.0095842,0.0095842,0.0095842
44,2233.14,0.95088,0.7603,1.20577,0.77809,0.7258,0.79102,0.62142,0.90509,0.71108,1.22595,0.0095743,0.0095743,0.0095743
45,2283.02,0.95084,0.76643,1.21055,0.78801,0.72488,0.79452,0.6287,0.90763,0.71003,1.21818,0.0095644,0.0095644,0.0095644
46,2333.06,0.94188,0.75295,1.20565,0.7958,0.73205,0.79955,0.62298,0.91984,0.71345,1.22595,0.0095545,0.0095545,0.0095545
47,2383.23,0.9466,0.75571,1.20273,0.80132,0.70745,0.79857,0.62653,0.89514,0.69412,1.21422,0.0095446,0.0095446,0.0095446
48,2433.37,0.94555,0.74759,1.20298,0.8215,0.71366,0.79405,0.62472,0.90908,0.70059,1.22212,0.0095347,0.0095347,0.0095347
49,2483.79,0.93521,0.74537,1.19945,0.80063,0.71324,0.79307,0.62435,0.89948,0.70053,1.21179,0.0095248,0.0095248,0.0095248
50,2533.7,0.93518,0.74291,1.19292,0.81736,0.71542,0.80209,0.63469,0.89991,0.68755,1.21267,0.0095149,0.0095149,0.0095149
51,2583.98,0.93466,0.74047,1.19659,0.79965,0.72218,0.80656,0.63639,0.89652,0.68438,1.21031,0.009505,0.009505,0.009505
52,2634.34,0.92987,0.73886,1.19159,0.79989,0.72583,0.79644,0.627,0.89458,0.68149,1.21141,0.0094951,0.0094951,0.0094951
53,2685.06,0.92523,0.73389,1.18844,0.83234,0.69716,0.80664,0.63304,0.89319,0.6795,1.21004,0.0094852,0.0094852,0.0094852
54,2735.28,0.92181,0.7307,1.19156,0.80439,0.71534,0.79662,0.6261,0.89546,0.67623,1.21108,0.0094753,0.0094753,0.0094753
55,2785.37,0.91624,0.71554,1.18028,0.81033,0.7272,0.8029,0.62852,0.89434,0.67082,1.20806,0.0094654,0.0094654,0.0094654
56,2835.2,0.91665,0.71806,1.18672,0.83559,0.71806,0.81466,0.64189,0.8886,0.66542,1.20012,0.0094555,0.0094555,0.0094555
57,2885.45,0.91951,0.73025,1.18784,0.80566,0.73606,0.81347,0.64304,0.87919,0.66951,1.20314,0.0094456,0.0094456,0.0094456
58,2935.3,0.91571,0.72001,1.18409,0.8194,0.72284,0.80729,0.63929,0.88153,0.66205,1.20086,0.0094357,0.0094357,0.0094357
59,2985.13,0.91499,0.71847,1.17978,0.79543,0.72939,0.80475,0.64022,0.88326,0.66458,1.19442,0.0094258,0.0094258,0.0094258
60,3035.93,0.907,0.70504,1.1725,0.82663,0.72035,0.81549,0.64642,0.88468,0.66195,1.19525,0.0094159,0.0094159,0.0094159
61,3088.37,0.90975,0.7106,1.1713,0.78836,0.74885,0.81156,0.63983,0.88902,0.65807,1.20075,0.009406,0.009406,0.009406
62,3137.26,0.90394,0.70301,1.17722,0.78584,0.74841,0.80566,0.63402,0.87561,0.66304,1.19095,0.0093961,0.0093961,0.0093961
63,3187.45,0.8967,0.69729,1.17112,0.80282,0.73882,0.81701,0.6453,0.87607,0.65589,1.19095,0.0093862,0.0093862,0.0093862
64,3237.03,0.8977,0.68993,1.16468,0.77842,0.76115,0.81403,0.64351,0.87373,0.64267,1.19122,0.0093763,0.0093763,0.0093763
65,3286.81,0.89784,0.69767,1.16957,0.80949,0.73401,0.80909,0.63988,0.87591,0.66178,1.19126,0.0093664,0.0093664,0.0093664
66,3336.12,0.89941,0.69976,1.17307,0.82771,0.73047,0.82173,0.65362,0.87367,0.64891,1.18736,0.0093565,0.0093565,0.0093565
67,3386.63,0.90121,0.69847,1.17092,0.79268,0.74808,0.81919,0.6517,0.86879,0.64689,1.18503,0.0093466,0.0093466,0.0093466
68,3436.11,0.89305,0.69471,1.16881,0.80404,0.73563,0.81671,0.65054,0.86614,0.652,1.18169,0.0093367,0.0093367,0.0093367
69,3485.42,0.89777,0.68916,1.16749,0.83249,0.73869,0.82466,0.6565,0.86485,0.64236,1.18375,0.0093268,0.0093268,0.0093268
70,3535.09,0.89074,0.68585,1.16456,0.82615,0.72047,0.81816,0.65096,0.86108,0.64102,1.18039,0.0093169,0.0093169,0.0093169
71,3585.04,0.89171,0.6841,1.16036,0.82219,0.73484,0.82172,0.65386,0.8633,0.64004,1.18048,0.009307,0.009307,0.009307
72,3634.58,0.88166,0.6833,1.15674,0.79968,0.73692,0.81589,0.65304,0.86396,0.64497,1.18192,0.0092971,0.0092971,0.0092971
73,3685.16,0.88401,0.67713,1.16103,0.81366,0.72773,0.81758,0.65533,0.85444,0.64326,1.17628,0.0092872,0.0092872,0.0092872
74,3734.14,0.88504,0.68448,1.15637,0.82081,0.73367,0.82514,0.66311,0.85772,0.63499,1.17908,0.0092773,0.0092773,0.0092773
75,3784.08,0.88274,0.67289,1.1544,0.7989,0.77229,0.8304,0.6661,0.85491,0.62428,1.17519,0.0092674,0.0092674,0.0092674
76,3833.84,0.87744,0.66591,1.15468,0.82761,0.73335,0.82817,0.66061,0.85284,0.62532,1.17701,0.0092575,0.0092575,0.0092575
77,3883.65,0.88023,0.6674,1.15657,0.82945,0.73755,0.82811,0.66696,0.85539,0.62917,1.17275,0.0092476,0.0092476,0.0092476
78,3934.59,0.87283,0.66939,1.15222,0.785,0.76498,0.82987,0.66603,0.86093,0.63078,1.17645,0.0092377,0.0092377,0.0092377
79,3984.09,0.87986,0.67235,1.1527,0.87113,0.72028,0.82943,0.66425,0.85433,0.62813,1.17354,0.0092278,0.0092278,0.0092278
80,4033.75,0.87486,0.66367,1.15121,0.81309,0.74737,0.82483,0.6581,0.85059,0.62744,1.16976,0.0092179,0.0092179,0.0092179
81,4083.67,0.87374,0.6653,1.15218,0.84829,0.72418,0.83209,0.66506,0.854,0.63296,1.17161,0.009208,0.009208,0.009208
82,4133.32,0.87111,0.66465,1.147,0.83162,0.7379,0.82791,0.66235,0.84953,0.62092,1.17237,0.0091981,0.0091981,0.0091981
83,4182.7,0.8662,0.65917,1.14297,0.81969,0.75977,0.83168,0.66589,0.85845,0.62316,1.17748,0.0091882,0.0091882,0.0091882
84,4233.07,0.8656,0.65825,1.13953,0.83214,0.72857,0.82966,0.66836,0.85097,0.62346,1.1728,0.0091783,0.0091783,0.0091783
85,4286.64,0.87512,0.6602,1.149,0.83399,0.74444,0.83424,0.67188,0.84425,0.61392,1.16327,0.0091684,0.0091684,0.0091684
86,4335.82,0.86682,0.65646,1.14571,0.83318,0.74088,0.83235,0.67241,0.84441,0.62005,1.16441,0.0091585,0.0091585,0.0091585
87,4385.14,0.8612,0.6518,1.14152,0.82402,0.74351,0.83038,0.66834,0.8484,0.61912,1.16879,0.0091486,0.0091486,0.0091486
88,4434.82,0.865,0.65966,1.14808,0.80345,0.76826,0.83449,0.66835,0.85078,0.61316,1.17377,0.0091387,0.0091387,0.0091387
89,4484.84,0.85684,0.64707,1.13844,0.80148,0.77634,0.83306,0.66815,0.84449,0.61594,1.16877,0.0091288,0.0091288,0.0091288
90,4535.75,0.86017,0.64631,1.14313,0.82724,0.75225,0.83828,0.6722,0.84069,0.60641,1.16581,0.0091189,0.0091189,0.0091189
91,4587.23,0.85989,0.64969,1.14222,0.83042,0.76708,0.83896,0.67653,0.84551,0.61195,1.16983,0.009109,0.009109,0.009109
92,4636.91,0.85157,0.64053,1.13458,0.82283,0.77303,0.84221,0.6805,0.83902,0.60913,1.164,0.0090991,0.0090991,0.0090991
93,4688.28,0.85652,0.64848,1.1344,0.83163,0.75787,0.83962,0.67783,0.8357,0.6026,1.16229,0.0090892,0.0090892,0.0090892
94,4737.55,0.85213,0.6387,1.13462,0.82581,0.7532,0.83625,0.67603,0.84063,0.60689,1.16271,0.0090793,0.0090793,0.0090793
95,4787.87,0.84971,0.63773,1.13281,0.85419,0.74273,0.83748,0.67459,0.84261,0.61162,1.16527,0.0090694,0.0090694,0.0090694
96,4837.64,0.85175,0.63641,1.13324,0.84439,0.74918,0.83887,0.67892,0.84168,0.60578,1.16295,0.0090595,0.0090595,0.0090595
