epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,985.973,1.29727,1.19351,0.9648,0.60821,0.75655,0.64815,0.40705,1.23133,1.03321,0.96564,0.0091684,0.0091684,0.0091684
44,1007.51,1.28337,1.16364,0.95345,0.55972,0.62886,0.56537,0.36668,1.24262,1.16441,0.97466,0.0091486,0.0091486,0.0091486
45,1029.69,1.28733,1.1575,0.95515,0.64043,0.72463,0.65718,0.41133,1.21706,1.0424,0.96842,0.0091288,0.0091288,0.0091288
46,1052,1.25444,1.15168,0.94116,0.61868,0.69866,0.62819,0.39054,1.23649,1.13075,0.96945,0.009109,0.009109,0.009109
47,1074.11,1.27332,1.13643,0.94749,0.64778,0.74461,0.67697,0.42792,1.21099,0.98484,0.96386,0.0090892,0.0090892,0.0090892
48,1095.78,1.29057,1.17994,0.96351,0.59914,0.76374,0.66888,0.43153,1.19258,0.99309,0.96057,0.0090694,0.0090694,0.0090694
49,1117.28,1.25817,1.16869,0.94888,0.63744,0.76358,0.66281,0.43259,1.1818,0.99056,0.96186,0.0090496,0.0090496,0.0090496
50,1138.7,1.27792,1.13228,0.95136,0.54609,0.69692,0.61552,0.3978,1.21183,1.10555,0.96837,0.0090298,0.0090298,0.0090298
51,1159.96,1.28052,1.14326,0.95099,0.58573,0.66427,0.60807,0.38204,1.2805,1.14967,0.9979,0.00901,0.00901,0.00901
52,1181.55,1.24509,1.11788,0.94097,0.58951,0.78386,0.6609,0.41591,1.19666,1.05436,0.97053,0.0089902,0.0089902,0.0089902
53,1203.62,1.26525,1.12908,0.94588,0.63069,0.76276,0.69009,0.4371,1.24767,0.97751,0.9798,0.0089704,0.0089704,0.0089704
54,1225.19,1.26687,1.13237,0.94779,0.58147,0.71203,0.67077,0.42003,1.20732,1.03056,0.96692,0.0089506,0.0089506,0.0089506
55,1247.5,1.25216,1.10106,0.94131,0.60877,0.76051,0.6777,0.43468,1.21077,1.01814,0.97019,0.0089308,0.0089308,0.0089308
56,1269.02,1.23982,1.09853,0.93369,0.66096,0.7809,0.70381,0.45166,1.21076,0.96345,0.9595,0.008911,0.008911,0.008911
57,1290.89,1.24919,1.12485,0.94203,0.60636,0.6583,0.66009,0.43058,1.22856,0.99673,0.98055,0.0088912,0.0088912,0.0088912
58,1312.6,1.25977,1.09299,0.94536,0.59995,0.74034,0.67733,0.43405,1.24451,1.02749,0.97108,0.0088714,0.0088714,0.0088714
59,1334.57,1.23358,1.11511,0.94213,0.5929,0.66439,0.64212,0.4098,1.25462,1.04249,0.96726,0.0088516,0.0088516,0.0088516
60,1357.09,1.21112,1.07357,0.93259,0.63491,0.75177,0.70494,0.44809,1.23578,1.03357,0.96299,0.0088318,0.0088318,0.0088318
61,1378.7,1.23175,1.08558,0.94116,0.59782,0.61765,0.63588,0.40989,1.23777,1.11231,0.96559,0.008812,0.008812,0.008812
62,1400.12,1.24576,1.09797,0.93297,0.6348,0.73838,0.71543,0.4647,1.19164,0.96312,0.95511,0.0087922,0.0087922,0.0087922
63,1422.41,1.19721,1.01547,0.91911,0.66336,0.70568,0.70975,0.45563,1.19899,0.98832,0.95453,0.0087724,0.0087724,0.0087724
64,1443.91,1.21038,1.07058,0.93833,0.63756,0.73547,0.73409,0.46928,1.17966,0.94319,0.94355,0.0087526,0.0087526,0.0087526
65,1465.58,1.20747,1.04483,0.94592,0.70501,0.70476,0.73641,0.48236,1.24652,0.95042,0.97442,0.0087328,0.0087328,0.0087328
66,1487.32,1.20982,1.04811,0.92912,0.63013,0.718,0.70447,0.45213,1.2361,0.99818,0.96596,0.008713,0.008713,0.008713
67,1509.12,1.22435,1.05437,0.9355,0.72821,0.74239,0.76456,0.48918,1.22395,0.90664,0.96407,0.0086932,0.0086932,0.0086932
68,1531.24,1.21798,1.00157,0.93756,0.73691,0.68433,0.747,0.47138,1.23179,0.94143,0.96294,0.0086734,0.0086734,0.0086734
69,1553.24,1.22183,1.00539,0.9282,0.75108,0.69886,0.77112,0.51266,1.1757,0.88987,0.95794,0.0086536,0.0086536,0.0086536
70,1575.35,1.19448,0.97353,0.92095,0.7307,0.68994,0.74265,0.48836,1.22005,0.93722,0.97983,0.0086338,0.0086338,0.0086338
71,1597.5,1.21139,0.99578,0.93534,0.70382,0.70315,0.74375,0.47506,1.22971,0.98981,0.96304,0.008614,0.008614,0.008614
72,1619.35,1.16098,0.93357,0.91443,0.80268,0.72758,0.79687,0.51362,1.22551,0.82571,0.96071,0.0085942,0.0085942,0.0085942
73,1641.4,1.17376,0.96697,0.92135,0.75828,0.73822,0.771,0.49682,1.22276,0.8857,0.96264,0.0085744,0.0085744,0.0085744
